Data As Of,Start Date,End Date,Group,Year,Month,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
2/13/22,10/1/21,10/31/21,By Month,2021,10,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,29,29,
2/13/22,11/1/21,11/30/21,By Month,2021,11,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,10,11,
2/13/22,12/1/21,12/31/21,By Month,2021,12,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,13,13,
2/13/22,1/1/22,1/31/22,By Month,2022,1,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,33,33,
2/13/22,2/1/22,2/12/22,By Month,2022,2,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,1/1/20,1/31/20,By Month,2020,1,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,2/1/20,2/29/20,By Month,2020,2,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,3/1/20,3/31/20,By Month,2020,3,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,4/1/20,4/30/20,By Month,2020,4,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,5/1/20,5/31/20,By Month,2020,5,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,6/1/20,6/30/20,By Month,2020,6,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,7/1/20,7/31/20,By Month,2020,7,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,8/1/20,8/31/20,By Month,2020,8,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,9/1/20,9/30/20,By Month,2020,9,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,10/1/20,10/31/20,By Month,2020,10,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,11/1/20,11/30/20,By Month,2020,11,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,12/1/20,12/31/20,By Month,2020,12,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,1/1/21,1/31/21,By Month,2021,1,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,2/1/21,2/28/21,By Month,2021,2,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,3/1/21,3/31/21,By Month,2021,3,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,4/1/21,4/30/21,By Month,2021,4,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,5/1/21,5/31/21,By Month,2021,5,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,6/1/21,6/30/21,By Month,2021,6,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,7/1/21,7/31/21,By Month,2021,7,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,8/1/21,8/31/21,By Month,2021,8,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,9/1/21,9/30/21,By Month,2021,9,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,10/1/21,10/31/21,By Month,2021,10,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,11/1/21,11/30/21,By Month,2021,11,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,12/1/21,12/31/21,By Month,2021,12,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,1/1/22,1/31/22,By Month,2022,1,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,2/1/22,2/12/22,By Month,2022,2,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
2/13/22,1/1/20,1/31/20,By Month,2020,1,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,0,0,
2/13/22,2/1/20,2/29/20,By Month,2020,2,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,0,0,
2/13/22,3/1/20,3/31/20,By Month,2020,3,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,4/1/20,4/30/20,By Month,2020,4,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,51,51,
2/13/22,5/1/20,5/31/20,By Month,2020,5,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,87,87,
2/13/22,6/1/20,6/30/20,By Month,2020,6,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,71,71,
2/13/22,7/1/20,7/31/20,By Month,2020,7,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,69,69,
2/13/22,8/1/20,8/31/20,By Month,2020,8,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,138,139,
2/13/22,9/1/20,9/30/20,By Month,2020,9,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,132,133,
2/13/22,10/1/20,10/31/20,By Month,2020,10,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,124,124,
2/13/22,11/1/20,11/30/20,By Month,2020,11,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,166,167,
2/13/22,12/1/20,12/31/20,By Month,2020,12,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,308,308,
2/13/22,1/1/21,1/31/21,By Month,2021,1,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,414,414,
2/13/22,2/1/21,2/28/21,By Month,2021,2,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,146,146,
2/13/22,3/1/21,3/31/21,By Month,2021,3,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,48,48,
2/13/22,4/1/21,4/30/21,By Month,2021,4,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,30,30,
2/13/22,5/1/21,5/31/21,By Month,2021,5,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,23,24,
2/13/22,6/1/21,6/30/21,By Month,2021,6,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,13,13,
2/13/22,7/1/21,7/31/21,By Month,2021,7,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,16,16,
2/13/22,8/1/21,8/31/21,By Month,2021,8,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,45,45,
2/13/22,9/1/21,9/30/21,By Month,2021,9,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,64,64,
2/13/22,10/1/21,10/31/21,By Month,2021,10,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,56,56,
2/13/22,11/1/21,11/30/21,By Month,2021,11,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,17,18,
2/13/22,12/1/21,12/31/21,By Month,2021,12,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,24,24,
2/13/22,1/1/22,1/31/22,By Month,2022,1,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,52,52,
2/13/22,2/1/22,2/12/22,By Month,2022,2,North Carolina,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,1/1/20,1/31/20,By Month,2020,1,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,2/1/20,2/29/20,By Month,2020,2,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,3/1/20,3/31/20,By Month,2020,3,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,4/1/20,4/30/20,By Month,2020,4,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,5/1/20,5/31/20,By Month,2020,5,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,6/1/20,6/30/20,By Month,2020,6,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,7/1/20,7/31/20,By Month,2020,7,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,8/1/20,8/31/20,By Month,2020,8,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,9/1/20,9/30/20,By Month,2020,9,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,10/1/20,10/31/20,By Month,2020,10,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,11/1/20,11/30/20,By Month,2020,11,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,12/1/20,12/31/20,By Month,2020,12,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,1/1/21,1/31/21,By Month,2021,1,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,2/1/21,2/28/21,By Month,2021,2,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,3/1/21,3/31/21,By Month,2021,3,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,4/1/21,4/30/21,By Month,2021,4,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,5/1/21,5/31/21,By Month,2021,5,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,6/1/21,6/30/21,By Month,2021,6,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,7/1/21,7/31/21,By Month,2021,7,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,8/1/21,8/31/21,By Month,2021,8,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,9/1/21,9/30/21,By Month,2021,9,North Carolina,Renal failure,Renal failure,N17-N19,0-24,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,10/1/21,10/31/21,By Month,2021,10,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,11/1/21,11/30/21,By Month,2021,11,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,12/1/21,12/31/21,By Month,2021,12,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,1/1/22,1/31/22,By Month,2022,1,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,2/1/22,2/12/22,By Month,2022,2,North Carolina,Renal failure,Renal failure,N17-N19,0-24,0,0,
2/13/22,1/1/20,1/31/20,By Month,2020,1,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,2/1/20,2/29/20,By Month,2020,2,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,3/1/20,3/31/20,By Month,2020,3,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,4/1/20,4/30/20,By Month,2020,4,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,5/1/20,5/31/20,By Month,2020,5,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,6/1/20,6/30/20,By Month,2020,6,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,7/1/20,7/31/20,By Month,2020,7,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,8/1/20,8/31/20,By Month,2020,8,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,9/1/20,9/30/20,By Month,2020,9,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,10/1/20,10/31/20,By Month,2020,10,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,11/1/20,11/30/20,By Month,2020,11,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,12/1/20,12/31/20,By Month,2020,12,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,1/1/21,1/31/21,By Month,2021,1,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,2/1/21,2/28/21,By Month,2021,2,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,3/1/21,3/31/21,By Month,2021,3,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,4/1/21,4/30/21,By Month,2021,4,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,5/1/21,5/31/21,By Month,2021,5,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,6/1/21,6/30/21,By Month,2021,6,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,7/1/21,7/31/21,By Month,2021,7,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,8/1/21,8/31/21,By Month,2021,8,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,9/1/21,9/30/21,By Month,2021,9,North Carolina,Renal failure,Renal failure,N17-N19,25-34,10,10,
2/13/22,10/1/21,10/31/21,By Month,2021,10,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,11/1/21,11/30/21,By Month,2021,11,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,12/1/21,12/31/21,By Month,2021,12,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,1/1/22,1/31/22,By Month,2022,1,North Carolina,Renal failure,Renal failure,N17-N19,25-34,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,2/1/22,2/12/22,By Month,2022,2,North Carolina,Renal failure,Renal failure,N17-N19,25-34,0,0,
2/13/22,1/1/20,1/31/20,By Month,2020,1,North Carolina,Renal failure,Renal failure,N17-N19,35-44,0,0,
2/13/22,2/1/20,2/29/20,By Month,2020,2,North Carolina,Renal failure,Renal failure,N17-N19,35-44,0,0,
2/13/22,3/1/20,3/31/20,By Month,2020,3,North Carolina,Renal failure,Renal failure,N17-N19,35-44,0,0,
2/13/22,4/1/20,4/30/20,By Month,2020,4,North Carolina,Renal failure,Renal failure,N17-N19,35-44,0,0,
2/13/22,5/1/20,5/31/20,By Month,2020,5,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,6/1/20,6/30/20,By Month,2020,6,North Carolina,Renal failure,Renal failure,N17-N19,35-44,0,0,
2/13/22,7/1/20,7/31/20,By Month,2020,7,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,8/1/20,8/31/20,By Month,2020,8,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,9/1/20,9/30/20,By Month,2020,9,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,10/1/20,10/31/20,By Month,2020,10,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,11/1/20,11/30/20,By Month,2020,11,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,12/1/20,12/31/20,By Month,2020,12,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,1/1/21,1/31/21,By Month,2021,1,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,2/1/21,2/28/21,By Month,2021,2,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,3/1/21,3/31/21,By Month,2021,3,North Carolina,Renal failure,Renal failure,N17-N19,35-44,0,0,
2/13/22,4/1/21,4/30/21,By Month,2021,4,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,5/1/21,5/31/21,By Month,2021,5,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,6/1/21,6/30/21,By Month,2021,6,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,7/1/21,7/31/21,By Month,2021,7,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,8/1/21,8/31/21,By Month,2021,8,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,9/1/21,9/30/21,By Month,2021,9,North Carolina,Renal failure,Renal failure,N17-N19,35-44,13,13,
2/13/22,10/1/21,10/31/21,By Month,2021,10,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,11/1/21,11/30/21,By Month,2021,11,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,12/1/21,12/31/21,By Month,2021,12,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,1/1/22,1/31/22,By Month,2022,1,North Carolina,Renal failure,Renal failure,N17-N19,35-44,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,2/1/22,2/12/22,By Month,2022,2,North Carolina,Renal failure,Renal failure,N17-N19,35-44,0,0,
2/13/22,1/1/20,1/31/20,By Month,2020,1,North Carolina,Renal failure,Renal failure,N17-N19,45-54,0,0,
2/13/22,2/1/20,2/29/20,By Month,2020,2,North Carolina,Renal failure,Renal failure,N17-N19,45-54,0,0,
2/13/22,3/1/20,3/31/20,By Month,2020,3,North Carolina,Renal failure,Renal failure,N17-N19,45-54,0,0,
2/13/22,4/1/20,4/30/20,By Month,2020,4,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,5/1/20,5/31/20,By Month,2020,5,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,6/1/20,6/30/20,By Month,2020,6,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,7/1/20,7/31/20,By Month,2020,7,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,8/1/20,8/31/20,By Month,2020,8,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,9/1/20,9/30/20,By Month,2020,9,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,10/1/20,10/31/20,By Month,2020,10,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,11/1/20,11/30/20,By Month,2020,11,North Carolina,Renal failure,Renal failure,N17-N19,45-54,11,12,
2/13/22,12/1/20,12/31/20,By Month,2020,12,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,1/1/21,1/31/21,By Month,2021,1,North Carolina,Renal failure,Renal failure,N17-N19,45-54,15,15,
2/13/22,2/1/21,2/28/21,By Month,2021,2,North Carolina,Renal failure,Renal failure,N17-N19,45-54,12,14,
2/13/22,3/1/21,3/31/21,By Month,2021,3,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,4/1/21,4/30/21,By Month,2021,4,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,5/1/21,5/31/21,By Month,2021,5,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,6/1/21,6/30/21,By Month,2021,6,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,7/1/21,7/31/21,By Month,2021,7,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,8/1/21,8/31/21,By Month,2021,8,North Carolina,Renal failure,Renal failure,N17-N19,45-54,17,17,
2/13/22,9/1/21,9/30/21,By Month,2021,9,North Carolina,Renal failure,Renal failure,N17-N19,45-54,50,50,
2/13/22,10/1/21,10/31/21,By Month,2021,10,North Carolina,Renal failure,Renal failure,N17-N19,45-54,32,32,
2/13/22,11/1/21,11/30/21,By Month,2021,11,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,12/1/21,12/31/21,By Month,2021,12,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,1/1/22,1/31/22,By Month,2022,1,North Carolina,Renal failure,Renal failure,N17-N19,45-54,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,2/1/22,2/12/22,By Month,2022,2,North Carolina,Renal failure,Renal failure,N17-N19,45-54,0,0,
2/13/22,1/1/20,1/31/20,By Month,2020,1,North Carolina,Renal failure,Renal failure,N17-N19,55-64,0,0,
2/13/22,2/1/20,2/29/20,By Month,2020,2,North Carolina,Renal failure,Renal failure,N17-N19,55-64,0,0,
2/13/22,3/1/20,3/31/20,By Month,2020,3,North Carolina,Renal failure,Renal failure,N17-N19,55-64,0,0,
2/13/22,4/1/20,4/30/20,By Month,2020,4,North Carolina,Renal failure,Renal failure,N17-N19,55-64,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,5/1/20,5/31/20,By Month,2020,5,North Carolina,Renal failure,Renal failure,N17-N19,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,6/1/20,6/30/20,By Month,2020,6,North Carolina,Renal failure,Renal failure,N17-N19,55-64,12,13,
2/13/22,7/1/20,7/31/20,By Month,2020,7,North Carolina,Renal failure,Renal failure,N17-N19,55-64,16,17,
2/13/22,8/1/20,8/31/20,By Month,2020,8,North Carolina,Renal failure,Renal failure,N17-N19,55-64,23,24,
2/13/22,9/1/20,9/30/20,By Month,2020,9,North Carolina,Renal failure,Renal failure,N17-N19,55-64,16,17,
2/13/22,10/1/20,10/31/20,By Month,2020,10,North Carolina,Renal failure,Renal failure,N17-N19,55-64,19,20,
2/13/22,11/1/20,11/30/20,By Month,2020,11,North Carolina,Renal failure,Renal failure,N17-N19,55-64,17,18,
2/13/22,12/1/20,12/31/20,By Month,2020,12,North Carolina,Renal failure,Renal failure,N17-N19,55-64,35,38,
2/13/22,1/1/21,1/31/21,By Month,2021,1,North Carolina,Renal failure,Renal failure,N17-N19,55-64,52,56,
2/13/22,2/1/21,2/28/21,By Month,2021,2,North Carolina,Renal failure,Renal failure,N17-N19,55-64,31,32,
2/13/22,3/1/21,3/31/21,By Month,2021,3,North Carolina,Renal failure,Renal failure,N17-N19,55-64,16,16,
2/13/22,4/1/21,4/30/21,By Month,2021,4,North Carolina,Renal failure,Renal failure,N17-N19,55-64,17,18,
2/13/22,5/1/21,5/31/21,By Month,2021,5,North Carolina,Renal failure,Renal failure,N17-N19,55-64,18,18,
2/13/22,6/1/21,6/30/21,By Month,2021,6,North Carolina,Renal failure,Renal failure,N17-N19,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,7/1/21,7/31/21,By Month,2021,7,North Carolina,Renal failure,Renal failure,N17-N19,55-64,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/13/22,8/1/21,8/31/21,By Month,2021,8,North Carolina,Renal failure,Renal failure,N17-N19,55-64,48,49,
2/13/22,9/1/21,9/30/21,By Month,2021,9,North Carolina,Renal failure,Renal failure,N17-N19,55-64,79,80,
2/13/22,10/1/21,10/31/21,By Month,2021,10,North Carolina,Renal failure,Renal failure,N17-N19,55-64,54,56,
2/13/22,11/1/21,11/30/21,By Month,2021,11,North Carolina,Renal failure,Renal failure,N17-N19,55-64,18,19,
